Tweet ID,Country,Date,Tweet,Definitely English,Ambiguous,Definitely Not English,Code-Switched,Ambiguous due to Named Entities,Automatically Generated Tweets
434215992731136000,TR,14/02/2014,Bugün bulusmami lazimdiii,0,0,1,0,0,0
285903159434563000,TR,01/01/2013,Volkan konak adami tribe sokar yemin ederim :D,0,0,1,0,0,0
285948076496142000,NL,01/01/2013,Bed,1,0,0,0,0,0
285965965118824000,US,01/01/2013,I felt my first flash of violence at some fool who bumped into me.... I pity the fool.,1,0,0,0,0,0
286057979831275000,US,01/01/2013,Ladies drink and get in free till 10:30,1,0,0,0,0,0
286101218818924000,NL,01/01/2013,@Melanynijholtxo ahhahahahah dm!,0,1,0,0,0,0
286176649219829000,US,01/01/2013,Fuck,0,1,0,0,0,0
286216100784521000,GB,01/01/2013,Watching #Miranda On bbc1!!! @mermhart u r HILARIOUS ❤💋,1,0,0,0,0,0
286237546122457000,RS,01/01/2013,@StizZsti fino,0,0,1,0,0,0
286282349925257000,US,02/01/2013,Shopping! (@ Kohl's) http://t.co/I8ZkQHT9,1,0,0,0,0,0
286306802637889000,MX,02/01/2013,@Mizzh_ celos es tu segundo nombre,0,0,1,0,0,0
286327245667201000,CA,02/01/2013,@emilyroxxxx @melanienasson hahahahahah awww,0,1,0,0,0,0
286350423126851000,MY,02/01/2013,@BeGinkiTh otak ang semangat nak blajaq !,0,0,1,0,0,0
286469201806376000,BR,02/01/2013,Quiero jugar tenis ♥,0,0,1,0,0,0
286490978771144000,US,02/01/2013,Yessss ^_^,1,0,0,0,0,0
286493100866686000,BR,02/01/2013,#fome (@ Picanha do Neto) http://t.co/8Bj6zaWx,0,0,1,0,0,0
286525170670243000,US,02/01/2013,@Dennycrowe all over twitter because you and your friends cant stick up for yourselves.,1,0,0,0,0,0
286675485902139000,BR,03/01/2013,"@JuanChrystma chama e puxa, veem e vai...",0,0,1,0,0,0
286826850204934000,ID,03/01/2013,Tirta gangga w/@dayu_renita @tamancrizz @mika_mahayekti http://t.co/xemAXjUz,0,0,1,0,0,0
286916662836490000,US,03/01/2013,"~ i'm falling apart,with a broken heart,barely breathing.",1,0,0,0,0,0
286927073078018000,US,03/01/2013,"@CP_UDASHIT oh my god, we go way back #lovethis #rahrahrah",1,0,0,0,0,0
286927433498759000,US,03/01/2013,"The way you treat me. The way you accept me, and love me. How much you care about me. That's what makes you perfect.",1,0,0,0,0,0
286941320851890000,US,03/01/2013,I just wanna get pulled on the sled by the four wheeler again!!!!!! #goodshit,1,0,0,0,0,0
286949739071672000,IE,03/01/2013,"Oh there's that fake door slam noise , ugh #CBB",1,0,0,0,0,0
286958983368036000,US,03/01/2013,@Taybaybay_19 cool... Wanna see when u get it!,1,0,0,0,0,0
287013601330479000,US,04/01/2013,@del_webb13 hahaa I never get told to be a post... 😕 But I'll most likely guard yaaaa!,1,0,0,0,0,0
287043679011631000,BR,04/01/2013,vou começar pela melhor metade (8),0,0,1,0,0,0
287056970421268000,US,04/01/2013,@Opucar91 @tim_allen111 I'm in Tennessee.. Only bears and mountain lions round these parts,1,0,0,0,0,0
287083436844412000,US,04/01/2013,Can't do right without doing wrong first,1,0,0,0,0,0
287085647129354000,MX,04/01/2013,Tweet 4484 Dedicado a @ZayraIzquierdo_ :*,0,0,1,0,0,0
287272742481432000,US,04/01/2013,@FlaccidDaddy and goodluck on that young occupation,1,0,0,0,0,0
287304673470337000,GB,04/01/2013,@kiapegg ahh okay how old ate you I am 13,1,0,0,0,0,0
287311564976037000,MX,04/01/2013,"\@erikitalaran: @supermery1969 @pagemasteragain @sococampos Jajajaja bolitaaaaaa!!!!\"" siiii!!!""",0,0,1,0,0,0
287388987629395000,ID,05/01/2013,"Mampir ke bandung sini ajak si cantik \@revavirginari: Hay mommy. Rindu deh kecup dongs dongs RT @Da_SickGirl: Aseeek!""",0,0,1,0,0,0
287459359477358000,MX,05/01/2013,@Paty_VanGogh rangoo???? Regalame el reloj mejor xDDDDDDDDDD,0,0,1,0,0,0
287510915979558000,ID,05/01/2013,"yo otw ki \@Vhitri_a: Rpp kw kan cah selo \""@tebeeng: lg jrug tkan ngomah iki \""@Vhitri_a: Kw wae le rene pie \""@tebeeng: hoo \""@Vhitri_a: Kad""",0,0,1,0,0,0
287551697151205000,CA,05/01/2013,"Rain bitches but get my dick on with  at least 3 chicks at York, these hoes are easy game don't change baby haha",1,0,0,0,0,0
287581900179128000,US,05/01/2013,"#SexSurvey 74: If you were a stripper, what would your name be? (Trixie or Tricktina as a girl - as a boy my name)",1,0,0,0,0,0
287610375464165000,US,05/01/2013,"RT“@iLeexi: I feel shittttttty, I can't even get off my bed. No srsly I feel rlly sick and shitty”",1,0,0,0,0,0
287649877515706000,TR,05/01/2013,Müdürlüğümüzün 2013 yılında hayata geçireceği projeler üzerinde ki çalışmalar sona yaklaşıldı.,0,0,1,0,0,0
287751454964465000,US,06/01/2013,I'm Just Gone Continue Doing What I Want To.,1,0,0,0,0,0
287774901190918000,US,06/01/2013,"\@adampoulos1: @TyreceSpeaight_ even me!!!\"" Are you at the party""",1,0,0,0,0,0
287908359716339000,RU,06/01/2013,И повторится все как в старь... (@ Обуховский Завод) [pic]: http://t.co/6iFuTdDp,0,0,1,0,0,0
287921852771336000,RU,06/01/2013,Поехала на каток,0,0,1,0,0,0
288003511625592000,BR,06/01/2013,@_jooa amanha eu treino,0,0,1,0,0,0
288022335670341000,US,06/01/2013,YESSSSSSSSSS http://t.co/1qERLagy,1,0,0,0,0,0
288024504205185000,HU,06/01/2013,I'm at Vegyes Élelmiszer (Budapest) http://t.co/Jjhatjt0,1,0,0,0,0,1
288057328702476000,US,06/01/2013,Drinking a Mama's Little Yella Pils by @oskarblues @ Thunderdome — http://t.co/VEw7n9xn,1,0,0,0,0,0
288087662072582000,US,07/01/2013,8:00 PM @ Harrah's Las Vegas $80 NL Hold'em Poker Tournament w/ $20 Bounties @HarrahsVegas http://t.co/f1mxW5ZT,1,0,0,0,0,0
288101830326632000,US,07/01/2013,@flakachichona : You Can HAVE Them Lololololololol (x,1,0,0,0,0,0
288105060020400000,US,07/01/2013,@FEuskadi Haha no way!!!!,1,0,0,0,0,0
288152195713613000,BR,07/01/2013,@lalafernandees hauahsususuusu eita povo brasileiro bacana ahsuauauahah,0,0,1,0,0,0
